Entity,Code,Year,Maternal mortality ratio
Liberia,LBR,2006,664.4995
Liberia,LBR,2007,662.79626
Liberia,LBR,2008,632.34186
Liberia,LBR,2009,638.0246
Liberia,LBR,2010,634.17914
Liberia,LBR,2011,643.5707
Liberia,LBR,2012,643.5407
Liberia,LBR,2013,631.61945
Liberia,LBR,2014,775.90894
Liberia,LBR,2015,685.5917
Liberia,LBR,2016,627.5487
Liberia,LBR,2017,661.1336
Liberia,LBR,2018,683.75757
Liberia,LBR,2019,667.96204
Liberia,LBR,2020,652.33875
Madagascar,MDG,1990,733.5919
Madagascar,MDG,1991,725.6066
Madagascar,MDG,1992,688.1259
Madagascar,MDG,1993,669.4092
Madagascar,MDG,1994,658.5387
Madagascar,MDG,1995,652.0999
Madagascar,MDG,1996,645.314
Madagascar,MDG,1997,652.0276
Madagascar,MDG,1998,627.6648
Madagascar,MDG,1999,645.5212
Madagascar,MDG,2000,658.1073
Madagascar,MDG,2001,627.18304
Madagascar,MDG,2002,636.6128
Madagascar,MDG,2003,625.6385
Madagascar,MDG,2004,597.78485
Madagascar,MDG,2005,567.53186
Madagascar,MDG,2006,537.31195
Madagascar,MDG,2007,520.8265
Madagascar,MDG,2008,526.3761
Madagascar,MDG,2009,507.06314
Madagascar,MDG,2010,496.79602
Madagascar,MDG,2011,484.4261
Madagascar,MDG,2012,475.98773
Madagascar,MDG,2013,454.5967
Madagascar,MDG,2014,467.3091
Madagascar,MDG,2015,481.62827
Madagascar,MDG,2016,446.81296
Madagascar,MDG,2017,423.24905
Madagascar,MDG,2018,423.27182
Madagascar,MDG,2019,397.63773
Madagascar,MDG,2020,391.51694
Mauritius,MUS,1990,97.573
Mauritius,MUS,1991,90.7432
Mauritius,MUS,1992,86.90236
Mauritius,MUS,1993,75.78405
Mauritius,MUS,1994,75.70528
Mauritius,MUS,1995,74.05813
Mauritius,MUS,1996,62.620647
Mauritius,MUS,1997,59.17006
Mauritius,MUS,1998,59.11825
Mauritius,MUS,1999,52.068726
